Entity,Code,Year,Age-standardized death rate from cardiovascular diseases among both sexes,"GDP per capita, PPP (constant 2017 international $)",Population (historical),World Bank's income classification,Continent
Afghanistan,AFG,2021,495.5473,1516.2733,40000411.0,Low-income countries,Asia
Albania,ALB,2021,256.60635,14596.016,2849643.0,Upper-middle-income countries,Europe
Algeria,DZA,2021,305.71576,11029.139,44761101.0,Lower-middle-income countries,Africa
Angola,AGO,2021,332.9626,5911.8354,34532427.0,Lower-middle-income countries,Africa
Antigua and Barbuda,ATG,2021,123.54684,20501.162,92358.0,High-income countries,Americas
Argentina,ARG,2021,157.68149,21599.797,45312283.0,Upper-middle-income countries,Americas
Armenia,ARM,2021,364.27945,14206.545,2870339.0,Upper-middle-income countries,Asia
Aruba,ABW,2021,,37333.516,107565.0,High-income countries,Unknown
Australia,AUS,2021,71.3781,49609.23,25956416.0,High-income countries,Oceania
Austria,AUT,2021,117.81371,53817.305,8967053.0,High-income countries,Europe
Azerbaijan,AZE,2021,266.5256,14433.904,10234373.0,Upper-middle-income countries,Asia
Bahamas,BHS,2021,203.19183,30463.084,396381.0,High-income countries,Americas
Bahrain,BHR,2021,265.5515,49754.047,1501762.0,High-income countries,Asia
Bangladesh,BGD,2021,242.49355,5911.013,167658855.0,Lower-middle-income countries,Asia
Barbados,BRB,2021,135.98112,13869.242,282156.0,High-income countries,Americas
Belarus,BLR,2021,368.0172,19872.693,9251367.0,Upper-middle-income countries,Europe
Belgium,BEL,2021,75.250534,52174.906,11570842.0,High-income countries,Europe
Belize,BLZ,2021,146.4836,8826.859,395356.0,Upper-middle-income countries,Americas
Benin,BEN,2021,274.15805,3321.552,13413423.0,Lower-middle-income countries,Africa
Bermuda,BMU,2021,,78570.49,64672.0,High-income countries,Unknown
Bhutan,BTN,2021,179.65866,11595.684,775451.0,Lower-middle-income countries,Asia
Bolivia,BOL,2021,168.2964,8052.6,11937369.0,Lower-middle-income countries,Americas
Bosnia and Herzegovina,BIH,2021,266.0802,15893.156,3244909.0,Upper-middle-income countries,Europe
Botswana,BWA,2021,212.19434,14906.897,2401449.0,Upper-middle-income countries,Africa
Brazil,BRA,2021,166.21169,14735.582,209550291.0,Upper-middle-income countries,Americas
Brunei,BRN,2021,164.96596,60127.023,451723.0,High-income countries,Asia
Bulgaria,BGR,2021,462.77206,24386.18,6877222.0,Upper-middle-income countries,Europe
Burkina Faso,BFA,2021,295.16156,2176.0933,21995249.0,Low-income countries,Africa
Burundi,BDI,2021,286.2528,714.0667,12965487.0,Low-income countries,Africa
Cambodia,KHM,2021,305.1071,4354.5654,16974308.0,Lower-middle-income countries,Asia
Cameroon,CMR,2021,295.9206,3689.359,26915764.0,Lower-middle-income countries,Africa
Canada,CAN,2021,80.117714,48356.332,38454058.0,High-income countries,Americas
Cape Verde,CPV,2021,251.23158,6356.745,516655.0,Lower-middle-income countries,Unknown
Cayman Islands,CYM,2021,,69400.67,70126.0,High-income countries,Unknown
Central African Republic,CAF,2021,385.23035,838.19293,5112102.0,Low-income countries,Africa
Chad,TCD,2021,292.3261,1425.4945,17828274.0,Low-income countries,Africa
Chile,CHL,2021,101.99368,25412.752,19456323.0,High-income countries,Americas
China,CHN,2021,234.1229,17657.656,1426437276.0,Upper-middle-income countries,Asia
Colombia,COL,2021,190.24104,14661.213,51188174.0,Upper-middle-income countries,Americas
Comoros,COM,2021,242.92267,3228.5269,818178.0,Lower-middle-income countries,Africa
Congo,COG,2021,319.6412,3700.27,5892186.0,Lower-middle-income countries,Africa
Costa Rica,CRI,2021,93.77736,21220.162,5059992.0,Upper-middle-income countries,Americas
Cote d'Ivoire,CIV,2021,288.5059,5316.464,29639735.0,Lower-middle-income countries,Africa
Croatia,HRV,2021,190.30359,32060.504,3924607.0,High-income countries,Europe
Curacao,CUW,2021,,21090.889,185324.0,High-income countries,Unknown
Cyprus,CYP,2021,90.812126,43417.27,1317312.0,High-income countries,Asia
Czechia,CZE,2021,183.91951,40744.457,10530683.0,High-income countries,Europe
Democratic Republic of Congo,COD,2021,327.8411,1073.6433,99148931.0,Low-income countries,Africa
Denmark,DNK,2021,80.03448,58802.96,5856773.0,High-income countries,Europe
Djibouti,DJI,2021,270.9322,4905.192,1121251.0,Lower-middle-income countries,Africa
Dominica,DMA,2021,216.89517,10899.414,67223.0,Upper-middle-income countries,Americas
Dominican Republic,DOM,2021,202.4511,18626.078,11123480.0,Upper-middle-income countries,Americas
East Asia and Pacific (WB),,2021,,18645.273,,,Unknown
East Timor,TLS,2021,313.27994,5038.926,1350142.0,Lower-middle-income countries,Unknown
Ecuador,ECU,2021,183.27666,10668.758,17682454.0,Upper-middle-income countries,Americas
Egypt,EGY,2021,422.18225,12180.451,110957004.0,Lower-middle-income countries,Africa
El Salvador,SLV,2021,137.08069,9190.174,6255781.0,Lower-middle-income countries,Americas
Equatorial Guinea,GNQ,2021,267.04407,14730.601,1758796.0,Upper-middle-income countries,Africa
Estonia,EST,2021,216.50243,38717.695,1331750.0,High-income countries,Europe
Eswatini,SWZ,2021,328.96872,9086.701,1206599.0,Lower-middle-income countries,Africa
Ethiopia,ETH,2021,173.42017,2319.1611,122138590.0,Low-income countries,Africa
Europe and Central Asia (WB),,2021,,35683.46,,,Unknown
European Union (27),,2021,,44410.605,447705923.0,,Unknown
Fiji,FJI,2021,380.3578,10379.567,916717.0,Upper-middle-income countries,Oceania
Finland,FIN,2021,124.19179,48614.82,5541068.0,High-income countries,Europe
France,FRA,2021,70.00236,44941.438,66083547.0,High-income countries,Europe
Gabon,GAB,2021,231.03056,13822.509,2376728.0,Upper-middle-income countries,Africa
Gambia,GMB,2021,323.86365,2076.5664,2576014.0,Low-income countries,Africa
Georgia,GEO,2021,376.7329,15486.659,3788450.0,Upper-middle-income countries,Asia
Germany,DEU,2021,120.664696,53395.65,83697082.0,High-income countries,Europe
Ghana,GHA,2021,303.0848,5420.792,32518662.0,Lower-middle-income countries,Africa
Greece,GRC,2021,137.45888,29630.93,10579561.0,High-income countries,Europe
Grenada,GRD,2021,197.24504,13688.298,116695.0,Upper-middle-income countries,Americas
Guatemala,GTM,2021,120.76201,8927.302,17598654.0,Upper-middle-income countries,Americas
Guinea,GIN,2021,303.68472,2640.3442,13710516.0,Low-income countries,Africa
Guinea-Bissau,GNB,2021,332.1838,1831.3832,2058842.0,Low-income countries,Africa
Guyana,GUY,2021,262.21048,21925.223,815484.0,Upper-middle-income countries,Americas
Haiti,HTI,2021,427.8694,2881.1765,11374592.0,Lower-middle-income countries,Americas
High-income countries,,2021,,50378.188,1246789058.0,,Unknown
Honduras,HND,2021,256.87616,5572.177,10289882.0,Lower-middle-income countries,Americas
Hong Kong,HKG,2021,,60037.445,7484604.0,High-income countries,Asia
Hungary,HUN,2021,271.21475,33583.785,9707848.0,High-income countries,Europe
Iceland,ISL,2021,88.79358,53135.953,372649.0,High-income countries,Europe
India,IND,2021,241.8013,6677.185,1414203889.0,Lower-middle-income countries,Asia
Indonesia,IDN,2021,318.66992,11859.437,276758056.0,Lower-middle-income countries,Asia
Iran,IRN,2021,190.11673,15004.6875,88455491.0,Lower-middle-income countries,Asia
Iraq,IRQ,2021,386.64514,8786.582,43071210.0,Upper-middle-income countries,Asia
Ireland,IRL,2021,87.08685,104671.875,5028430.0,High-income countries,Europe
Israel,ISR,2021,70.68757,42379.156,8942925.0,High-income countries,Asia
Italy,ITA,2021,88.48147,42562.555,59729354.0,High-income countries,Europe
Jamaica,JAM,2021,330.19653,9605.191,2837682.0,Upper-middle-income countries,Americas
Japan,JPN,2021,69.25353,41258.71,125679341.0,High-income countries,Asia
Jordan,JOR,2021,163.61694,9380.045,11066358.0,Upper-middle-income countries,Asia
Kazakhstan,KAZ,2021,342.28946,26110.53,19743607.0,Upper-middle-income countries,Asia
Kenya,KEN,2021,173.31027,4745.637,53219165.0,Lower-middle-income countries,Africa
Kiribati,KIR,2021,450.26328,2007.987,128386.0,Lower-middle-income countries,Oceania
Kosovo,OWID_KOS,2021,,11884.182,1741449.0,Upper-middle-income countries,Unknown
Kuwait,KWT,2021,146.66508,45579.688,4360749.0,High-income countries,Asia
Kyrgyzstan,KGZ,2021,318.86642,4910.0864,6820483.0,Lower-middle-income countries,Asia
Laos,LAO,2021,344.7385,7846.975,7453191.0,Lower-middle-income countries,Asia
Latin America and Caribbean (WB),,2021,,15956.927,,,Unknown
Latvia,LVA,2021,339.4112,31833.842,1885592.0,High-income countries,Europe
Lebanon,LBN,2021,132.6443,12986.913,5718127.0,Lower-middle-income countries,Asia
Lesotho,LSO,2021,422.68924,2239.3052,2261549.0,Lower-middle-income countries,Africa
Liberia,LBR,2021,271.11392,1423.2296,5259326.0,Low-income countries,Africa
Libya,LBY,2021,264.8385,20273.88,7135180.0,Upper-middle-income countries,Africa
Lithuania,LTU,2021,301.43063,39432.402,2794489.0,High-income countries,Europe
Low-income countries,,2021,,1921.8851,698215270.0,,Unknown
Lower-middle-income countries,,2021,,6865.1377,3180608875.0,,Unknown
Luxembourg,LUX,2021,74.000374,118510.0,640276.0,High-income countries,Europe
Macao,MAC,2021,,66820.91,694404.0,High-income countries,Unknown
Madagascar,MDG,2021,363.0824,1482.3761,29691087.0,Low-income countries,Africa
Malawi,MWI,2021,276.01044,1491.1337,20047263.0,Low-income countries,Africa
Malaysia,MYS,2021,253.98634,26407.316,34282405.0,Upper-middle-income countries,Asia
Maldives,MDV,2021,416.61978,18757.78,516162.0,Upper-middle-income countries,Asia
Mali,MLI,2021,233.32816,2120.6233,22388638.0,Low-income countries,Africa
Malta,MLT,2021,101.27222,46598.96,524383.0,High-income countries,Europe
Marshall Islands,MHL,2021,487.31265,5976.0303,41386.0,Upper-middle-income countries,Oceania
Mauritania,MRT,2021,267.87308,5142.2812,4734875.0,Lower-middle-income countries,Africa
Mauritius,MUS,2021,229.73436,20915.217,1279627.0,Upper-middle-income countries,Africa
Mexico,MEX,2021,166.06906,19617.76,127648152.0,Upper-middle-income countries,Americas
Micronesia (country),FSM,2021,500.5942,3320.9114,111636.0,Lower-middle-income countries,Oceania
Middle East and North Africa (WB),,2021,,16066.921,,,Unknown
Middle-income countries,,2021,,11907.978,,,Unknown
Moldova,MDA,2021,499.88043,13703.939,3023780.0,Upper-middle-income countries,Europe
Mongolia,MNG,2021,344.62488,11668.431,3339678.0,Lower-middle-income countries,Asia
Montenegro,MNE,2021,266.6014,20710.535,603854.0,Upper-middle-income countries,Europe
Morocco,MAR,2021,370.82712,8065.986,36954442.0,Lower-middle-income countries,Africa
Mozambique,MOZ,2021,355.811,1231.8641,31707797.0,Low-income countries,Africa
Myanmar,MMR,2021,281.13297,4113.8936,53387102.0,Lower-middle-income countries,Asia
Namibia,NAM,2021,228.55486,9208.583,2810553.0,Upper-middle-income countries,Africa
Nauru,NRU,2021,694.26196,10989.622,11726.0,High-income countries,Oceania
Nepal,NPL,2021,215.3215,3853.6802,29475018.0,Lower-middle-income countries,Asia
Netherlands,NLD,2021,76.95065,57334.703,17730564.0,High-income countries,Europe
New Zealand,NZL,2021,89.4121,44041.902,5107696.0,High-income countries,Oceania
Nicaragua,NIC,2021,129.86102,5692.035,6644745.0,Lower-middle-income countries,Americas
Niger,NER,2021,270.93655,1186.53,24502144.0,Low-income countries,Africa
Nigeria,NGA,2021,230.13167,4922.6323,218529285.0,Lower-middle-income countries,Africa
North America (WB),,2021,,62061.168,,,Unknown
North Macedonia,MKD,2021,288.5941,16708.598,1851109.0,Upper-middle-income countries,Europe
Norway,NOR,2021,74.612976,65915.53,5408081.0,High-income countries,Europe
Oman,OMN,2021,292.97156,34294.766,4500427.0,High-income countries,Asia
Pakistan,PAK,2021,325.39767,5233.4595,239477805.0,Lower-middle-income countries,Asia
Palau,PLW,2021,376.33557,14112.668,17809.0,Upper-middle-income countries,Oceania
Palestine,PSE,2021,,5641.0444,5185341.0,Lower-middle-income countries,Asia
Panama,PAN,2021,131.76346,30416.793,4345410.0,High-income countries,Americas
Papua New Guinea,PNG,2021,258.3398,3637.9133,10012899.0,Lower-middle-income countries,Oceania
Paraguay,PRY,2021,189.38022,13676.391,6684184.0,Upper-middle-income countries,Americas
Peru,PER,2021,85.20105,12533.842,33155883.0,Upper-middle-income countries,Americas
Philippines,PHL,2021,448.35062,8095.5796,113100946.0,Lower-middle-income countries,Asia
Poland,POL,2021,211.18387,34944.04,38040304.0,High-income countries,Europe
Portugal,PRT,2021,90.49326,33636.44,10390956.0,High-income countries,Europe
Puerto Rico,PRI,2021,,32766.666,3253210.0,High-income countries,Americas
Qatar,QAT,2021,202.53102,92895.34,2814989.0,High-income countries,Asia
Romania,ROU,2021,317.35284,30946.277,19248159.0,High-income countries,Europe
Russia,RUS,2021,333.32434,28057.031,145836172.0,Upper-middle-income countries,Europe
Rwanda,RWA,2021,251.25647,2237.514,13355260.0,Low-income countries,Africa
Saint Kitts and Nevis,KNA,2021,230.11739,26460.477,46786.0,High-income countries,Americas
Saint Lucia,LCA,2021,177.58086,13045.966,178540.0,Upper-middle-income countries,Americas
Saint Vincent and the Grenadines,VCT,2021,257.99417,13839.464,102848.0,Upper-middle-income countries,Americas
Samoa,WSM,2021,364.06332,5534.566,213792.0,Lower-middle-income countries,Oceania
San Marino,SMR,2021,60.133038,61609.01,34599.0,High-income countries,Unknown
Sao Tome and Principe,STP,2021,235.88443,3502.4353,221975.0,Lower-middle-income countries,Africa
Saudi Arabia,SAU,2021,195.35396,46768.434,31328374.0,High-income countries,Asia
Senegal,SEN,2021,292.89993,3511.6375,17220866.0,Lower-middle-income countries,Africa
Serbia,SRB,2021,321.2045,19860.31,6835434.0,Upper-middle-income countries,Europe
Seychelles,SYC,2021,204.44054,27928.373,123000.0,High-income countries,Africa
Sierra Leone,SLE,2021,350.7164,1614.8599,8094603.0,Low-income countries,Africa
Singapore,SGP,2021,99.59566,107741.12,5546292.0,High-income countries,Asia
Sint Maarten (Dutch part),SXM,2021,,38360.527,41590.0,High-income countries,Unknown
Slovakia,SVK,2021,244.84193,32512.695,5442767.0,High-income countries,Europe
Slovenia,SVN,2021,114.67101,40104.36,2113495.0,High-income countries,Europe
Solomon Islands,SLB,2021,566.0717,2397.3228,762594.0,Lower-middle-income countries,Oceania
Somalia,SOM,2021,301.99185,1458.2279,17271435.0,Low-income countries,Africa
South Africa,ZAF,2021,204.42299,13337.79,61502601.0,Upper-middle-income countries,Africa
South Asia (WB),,2021,,6361.804,,,Unknown
South Korea,KOR,2021,60.41563,44299.91,51848401.0,High-income countries,Asia
Spain,ESP,2021,77.09524,38319.29,47735670.0,High-income countries,Europe
Sri Lanka,LKA,2021,186.82202,13250.63,22700377.0,Lower-middle-income countries,Asia
Sub-Saharan Africa (WB),,2021,,3726.195,,,Unknown
Sudan,SDN,2021,369.95163,3701.069,48066927.0,Low-income countries,Africa
Suriname,SUR,2021,175.03185,14811.24,617905.0,Upper-middle-income countries,Americas
Sweden,SWE,2021,90.39888,54160.367,10416136.0,High-income countries,Europe
Switzerland,CHE,2021,76.227066,71044.87,8707018.0,High-income countries,Europe
Tajikistan,TJK,2021,359.42123,3910.4626,9966912.0,Lower-middle-income countries,Asia
Tanzania,TZA,2021,225.68239,2584.3977,62830413.0,Lower-middle-income countries,Africa
Thailand,THA,2021,118.88843,17087.21,71727340.0,Upper-middle-income countries,Asia
Togo,TGO,2021,352.13202,2130.859,8878384.0,Low-income countries,Africa
Tonga,TON,2021,226.58646,6142.9634,105504.0,Upper-middle-income countries,Oceania
Trinidad and Tobago,TTO,2021,181.61339,23036.256,1487715.0,High-income countries,Americas
Tunisia,TUN,2021,232.55663,10395.913,12048625.0,Lower-middle-income countries,Africa
Turkey,TUR,2021,198.41202,31722.16,86686255.0,Upper-middle-income countries,Asia
Turkmenistan,TKM,2021,451.38705,14696.823,7092041.0,Upper-middle-income countries,Asia
Turks and Caicos Islands,TCA,2021,,19763.545,45260.0,High-income countries,Unknown
Tuvalu,TUV,2021,449.74094,4604.402,10214.0,Upper-middle-income countries,Oceania
Uganda,UGA,2021,206.73013,2246.414,45910932.0,Low-income countries,Africa
Ukraine,UKR,2021,425.90277,12949.326,44298641.0,Lower-middle-income countries,Europe
United Arab Emirates,ARE,2021,159.98254,70028.02,9789054.0,High-income countries,Asia
United Kingdom,GBR,2021,87.40047,45567.57,67668789.0,High-income countries,Europe
United States,USA,2021,135.19675,63635.824,340161441.0,High-income countries,Americas
Upper-middle-income countries,,2021,,17634.266,2826094366.0,,Unknown
Uruguay,URY,2021,128.02121,23257.256,3396692.0,High-income countries,Americas
Uzbekistan,UZB,2021,512.8626,7800.5015,34243696.0,Lower-middle-income countries,Asia
Vanuatu,VUT,2021,512.0303,2800.494,305883.0,Lower-middle-income countries,Oceania
Vietnam,VNM,2021,262.2454,10628.22,98935101.0,Lower-middle-income countries,Asia
World,OWID_WRL,2021,209.11801,17091.352,7954448405.0,,Unknown
Zambia,ZMB,2021,291.1174,3287.4204,19603610.0,Low-income countries,Africa
Zimbabwe,ZWE,2021,354.5972,2115.1445,15797220.0,Lower-middle-income countries,Africa
